author,title,container-title,publisher,editor,issued
"Al-Sulaimani, G., and Roessett, J. M.",Design Spectra for Degrading Systems,Journal of Structural Engineering,ASCE,,December 1985
"Bazzurro, P., and Cornell, C. A.",Seismic Hazard Analysis of Nonlinear Structures. I: Methodology,Journal of Structural Engineering,ASCE,,November 1994
"Bea, R. G., Audibert, J. M., and Akky, M. R.",Earthquake Response of Offshore Platforms,Journal of the Structural Division,ASCE,,"February, 1979"
"Bea, R. G., Mortazavi, M. M., and Loch, K. J.","Evaluation of Storm Loadings and Capacities of Offshore Platforms,",Journal of Waterway. Port. Coastal and Ocean Engineering,ASCE,,March/April 1997
"Biggs, J. M., and Roesset, J. M.",Seismic Analysis of Equipment Mounted on a Massive Structure,Seismic Design of Nuclear Power Plants,MTT Press,R. J. Hansen,1970
"Clough, R. W., and Benuska, K. L.",Nonlinear Earthquake Behavior of Tall Buildings,Journal of the Engineering Mechanics Division,,,June 1967
"Dobry, R., Vicente, E., and O'Rourke, M.",Equivalent Spring and Damping Coefficients for Individual Piles Subjected to Horizontal Dynamic Loads,Journal of the Geotechnical Division,ASCE,,1980
"Elghadamsi, F. E., and Mohraz, B.",Inelastic Earthquake Spectra,Earthquake Engineering and Structural Dynamics,,,1987
"Lai, S.-P., and Biggs, J. M.",Inelastic Response Spectra for Aseismic Building Design,Journal of the Structural Division,"ASCE,",,1980
"Naeim, F., and Anderson, J. C.","Classification and Evaluation of Earthquake Records for Design,",NEHRP,FEMA,,1993
"Newmark, N. M.","A Method of Computation for Structural Dynamics,",Journal of the Engineering Mechanics Division,ASCE,,1959
"Novak, M.",Dynamic Stiffness and Damping of Piles,Canadian Geotechnical Journal,,,1974
"Riddell, R., Hidalgo, P., and Cruz, E.","Response Modification Factors for Earthquake Resistant Design, of Short Period Structures",Earthquake Spectra,,,1989
"Veletsos, A. S.",Dynamics of Structure-Foundation Systems,Structural and Geotechnical Mechanics: A Volume Honoring Nathan M. Newmark,Prentice-Hall,W. J. Hall,1977
"Veletsos, A. S., and Meek, J. W.",Dynamic Behavior of Building-Foundation Systems,Earthquake Engineering and Structural Dynamics,,,1974
Agre. P. E. and Chapman. D.,What are plans for?,IEEE Transactions on Robotics and Automation,,,1990
"Arkin, R. C.",Motor schema-based mobile robot navigation,International Journal of Robotics Research.,,,1989
Bares. J.. Hebert. M.. Kanade. T.. Krotkov. E‚ Mitchell. T.. Simmons. R.. and Whittaker. W.,Ambler: An autonomous rover for planetary exploration,IEEE Computer,,,1989
Berry. G. and Gonthier. G.,"The ESTEREL synchronous programming language: design, semantics, implementation",Science o f Computer Programming,,,1992
"Bhaskar, K.",How object-oriented is your system?,SIGPLANNotices,,,1983
Borenstein. J. and Koren. Y.,The vector field histogram - fast obstacle avoidance for mobile robots,IEEE Journal of Robotics and Automation,,,1991
Brooks. R. A.,A robust layered control system for a mobile robot,IEEE Journal of Robotics and Automation.,,,1986
Brooks. R. A.,Intelligence without reason,International Journal of Computing and Artificial Intelligence.,,,1991
Carbonell. J. G. and Veloso. M. M.,Integrating derivational analogy into a general problem solving architecture.,Proceedings of the First Workshop on Case Based Reasoning,,Kolodner. J.,1988
Coombs. C.. Raiffa. H.. and Thrall. R.,Some views on mathematical models and measurement theory,Psychological Review,,,1954
Crisman. J. D. and Thorpe. C. E.,Color vision for road following,Vision and Navigation: The Carnegie Mellon Navlab,Kluwer Academic Publishers,Thorpe. C. E.,1990
Elfes. A.,Sonar-based real-world mapping and navigation.,IEEE Journal of Robotics and Automation.,,,1987
Georgeff. M. P. and Lansky. A. L.,Procedural knowledge.,Proc. IEEE Special Issue on Knowledge Representation.,,,1986
Hayes-Roth. B.,A blackboard architecture for control.,Artificial Intelligence.,,,1985
"Laird. J., Newell. A., and Rosenbloom. P. S.",SOAR: An architecture for general intelligence.,Artificial Intelligence.,,,1987
"Luchins, A. S.",Mechanization in problem solving.,Psychological Monographs.,,,1942
I. Morgan Kaufmann. Pomerleau. D. and Jochem. T.,Rapidly adapting machine vision for automated vehicle steering.,IEEE Expert.,,,1996
