CitationStrings,Univ-Department,Discipline,Mannual_ann,CitationStyle
"Al-Sulaimani, G., and Roessett, J. M., ""Design Spectra for Degrading Systems,"" Journal of Structural Engineering, Vol. i l l , No. 12, ASCE, New York, NY, December 1985.",berkeley-ce,Civil and Environmental Engineering,journal,iso690-author-date-en
"Bazzurro, P., and Cornell, C. A., ""Seismic Hazard Analysis of Nonlinear Structures. I: Methodology,"" Journal of Structural Engineering. ASCE, Vol. 120, No. 11, November 1994.",berkeley-ce,Civil and Environmental Engineering,journal,unknown
"Bea, R. G., Audibert, J. M., and Akky, M. R., ""Earthquake Response of Offshore Platforms,"" Journal of the Structural Division, ASCE, Vol. 105, No. ST2, February, 1979.",berkeley-ce,Civil and Environmental Engineering,journal,iso690-author-date-en
"Bea, R. G., Mortazavi, M. M., and Loch, K. J., ""Evaluation of Storm Loadings and Capacities of Offshore Platforms,"" Journal of Waterway. Port. Coastal and Ocean Engineering. Vol. 123, No. 2, ASCE, March/April 1997.",berkeley-ce,Civil and Environmental Engineering,journal,springer-lecture-notes-in-computer-science
"Biggs, J. M., and Roesset, J. M., ""Seismic Analysis of Equipment Mounted on a Massive Structure,"" Seismic Design of Nuclear Power Plants, editor: R. J. Hansen, MTT Press, 1970.",berkeley-ce,Civil and Environmental Engineering,journal,harvard3
"Clough, R. W., and Benuska, K. L., ""Nonlinear Earthquake Behavior of Tall Buildings,"" Journal of the Engineering Mechanics Division. June 1967.",berkeley-ce,Civil and Environmental Engineering,journal,american-chemical-society-with-titles
"Dobry, R., Vicente, E., and O'Rourke, M., ""Equivalent Spring and Damping Coefficients for Individual Piles Subjected to Horizontal Dynamic Loads,"" paper submitted for publication in the Journal of the Geotechnical Division, ASCE, 1980.",berkeley-ce,Civil and Environmental Engineering,journal,harvard3
"Elghadamsi, F. E., and Mohraz, B., ""Inelastic Earthquake Spectra,"" Earthquake Engineering and Structural Dynamics. Vol. 15, 1987.",berkeley-ce,Civil and Environmental Engineering,journal,harvard3
"Lai, S.-P., and Biggs, J. M., ""Inelastic Response Spectra for Aseismic Building Design,"" Journal of the Structural Division. ASCE, Vol. 106, No. ST6, 1980.",berkeley-ce,Civil and Environmental Engineering,journal,unknown
"Naeim, F., and Anderson, J. C., ""Classification and Evaluation of Earthquake Records for Design,"" NEHRP Fellowship Report, FEMA, Washington, D. C., 1993.",berkeley-ce,Civil and Environmental Engineering,journal,harvard3
"Newmark, N. M., ""A Method of Computation for Structural Dynamics,"" Journal of the Engineering Mechanics Division. ASCE, 85, 1959.",berkeley-ce,Civil and Environmental Engineering,journal,harvard3
"Novak, M., ""Dynamic Stiffness and Damping of Piles,"" Canadian Geotechnical Journal, Vol. 11, No. 4, 1974.",berkeley-ce,Civil and Environmental Engineering,journal,iso690-author-date-en
"Riddell, R., Hidalgo, P., and Cruz, E., ""Response Modification Factors for Earthquake Resistant Design, of Short Period Structures,"" Earthquake Spectra, Vol. 5, No. 3, 1989.",berkeley-ce,Civil and Environmental Engineering,journal,unknown
"Veletsos, A. S., ""Dynamics of Structure-Foundation Systems,"" Structural and Geotechnical Mechanics: A Volume Honoring Nathan M. Newmark, editor: W. J. Hall, Prentice-Hall, Englewood Cliffs, NJ, 1977.",berkeley-ce,Civil and Environmental Engineering,journal,chicago-author-date
"Veletsos, A. S., and Meek, J. W., ""Dynamic Behavior of Building-Foundation Systems,"" Earthquake Engineering and Structural Dynamics. Vol. 3, 1974.",berkeley-ce,Civil and Environmental Engineering,journal,harvard3
Agre. P. E. and Chapman. D. (1990). What are plans for ? IEEE Transactions on Robotics and Automation. 6:17-34.,cmu-cs,Computer Science -- Robotics,journal,unknown
"Arkin, R. C. (1989). Motor schema-based mobile robot navigation. International Journal o f Robotics Research. 8(4):92-l 12.",cmu-cs,Computer Science -- Robotics,journal,apa
Bares. J.. Hebert. M.. Kanade. T.. Krotkov. Eâ€šÃ„Ã¶ Mitchell. T.. Simmons. R.. and Whittaker. W. (1989). Ambler: An autonomous rover for planetary exploration. IEEE Computer.,cmu-cs,Computer Science -- Robotics,journal,unknown
"Berry. G. and Gonthier. G. (1992). The ESTEREL synchronous programming language: design, semantics, implementation. Science o f Computer Programming. 19(2):87-152.",cmu-cs,Computer Science -- Robotics,journal,unknown
"Bhaskar, K. (1983). How object-oriented is your system? SIGPLANNotices. 18( 10).",cmu-cs,Computer Science -- Robotics,journal,apa
Borenstein. J. and Koren. Y. (1991). The vector field histogram - fast obstacle avoidance for mobile robots. IEEE Journal o f Robotics and Automation. 7( 3 ):278-288.,cmu-cs,Computer Science -- Robotics,journal,apa
Brooks. R. A. (1986). A robust layered control system for a mobile robot. IEEE Journal o f Robotics and Automation. 2 ( 1 ).,cmu-cs,Computer Science -- Robotics,journal,apa
Brooks. R. A. (1991). Intelligence without reason. International Journal o f Computing and Artificial Intelligence.,cmu-cs,Computer Science -- Robotics,journal,apa
Carbonell. J. G. and Veloso. M. M. (1988). Integrating derivational analogy into a general problem solving architecture. In Kolodner. J.. editor. Proceedings of the First Workshop on Case Based Reasoning.,cmu-cs,Computer Science -- Robotics,journal,unknown
Coombs. C.. Raiffa. H.. and Thrall. R. (1954). Some views on mathematical models and measurement theory. Psychological Review. 61(2).,cmu-cs,Computer Science -- Robotics,journal,apa
